epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,1551.19,0.14697,0.23372,0.77363,0.96688,0.94782,0.995,0.94474,0.27936,0.24134,0.74239,0.000439907,0.000439907,0.000439907
145,1561.64,0.15392,0.23357,0.78065,0.96508,0.94919,0.995,0.94025,0.27906,0.2311,0.74135,0.000437158,0.000437158,0.000437158
146,1572.08,0.14504,0.22893,0.77297,0.96557,0.94947,0.995,0.93931,0.29106,0.23804,0.74198,0.000434409,0.000434409,0.000434409
147,1582.48,0.14724,0.23328,0.77957,0.97247,0.94657,0.995,0.93999,0.27705,0.239,0.74193,0.000431661,0.000431661,0.000431661
148,1592.92,0.14651,0.23383,0.76797,0.97933,0.94471,0.995,0.94461,0.28686,0.22657,0.74397,0.000428912,0.000428912,0.000428912
149,1603.37,0.14235,0.2349,0.76932,0.9809,0.94524,0.995,0.94781,0.28102,0.22395,0.74447,0.000426163,0.000426163,0.000426163
150,1613.83,0.15223,0.23633,0.77946,0.97537,0.94783,0.995,0.94349,0.28886,0.2304,0.74697,0.000423414,0.000423414,0.000423414
151,1624.26,0.1458,0.23102,0.7694,0.97691,0.94813,0.995,0.94964,0.29206,0.23104,0.74735,0.000420665,0.000420665,0.000420665
152,1634.75,0.15457,0.24666,0.77605,0.97372,0.94997,0.995,0.95905,0.2769,0.22293,0.74348,0.000417916,0.000417916,0.000417916
153,1645.19,0.14901,0.22813,0.78261,0.96068,0.95746,0.995,0.96053,0.28122,0.22847,0.74164,0.000415167,0.000415167,0.000415167
154,1655.63,0.14956,0.23808,0.78285,0.94818,0.96038,0.995,0.96021,0.282,0.21849,0.74151,0.000412418,0.000412418,0.000412418
155,1666.05,0.14705,0.23099,0.7691,0.97029,0.95084,0.995,0.96186,0.27429,0.22215,0.73996,0.000409669,0.000409669,0.000409669
156,1676.51,0.14311,0.2246,0.78254,0.97735,0.94724,0.995,0.95716,0.27437,0.21036,0.74516,0.00040692,0.00040692,0.00040692
157,1686.92,0.15852,0.24412,0.78815,0.98005,0.94546,0.995,0.94341,0.2823,0.2185,0.749,0.000404172,0.000404172,0.000404172
158,1697.54,0.15807,0.23491,0.77792,0.97874,0.94614,0.995,0.94178,0.28374,0.21962,0.75199,0.000401423,0.000401423,0.000401423
159,1708.2,0.14244,0.22796,0.77498,0.97009,0.95112,0.995,0.95822,0.28015,0.22266,0.74506,0.000398674,0.000398674,0.000398674
160,1718.93,0.1475,0.22705,0.77441,0.97609,0.94947,0.995,0.96508,0.28383,0.22007,0.74721,0.000395925,0.000395925,0.000395925
